trial_id,Region,Zone,Districts,Location,Altitude,pH,TN               (%),Av. P (ppm),Attiainable Yield (t/ha),Control,NE_yield_kg_ha,Regional_yield_kg_ha,SoilTest_yield_kg_ha,Control_N,Control_P,Control_K,NE_N,NE_P,NE_K,Regional_N,Regional_P,Regional_K,SoilTest_N,SoilTest_P,SoilTest_K,best_treatment,control_yield_kg_ha,best_yield_kg_ha,best_gain_vs_control_kg_ha
11,Oromiya,Jimma,Kersa,Tikurbalto,1787.0,4.319,0.189,7.5,6.5,3021.568,5034.838397581255,7084.6647230320705,6941.57671957672,0.0,0.0,0.0,120.0,50.0,31.0,92.0,69.0,0.0,120.0,43.0,0.0,Regional Recommendation,3021.568,7084.6647230320705,4063.0967230320703
12,Oromiya,Jimma,Kersa,Ganda Girma,1869.0,4.52,0.241,4.369,7.5,1923.6321088435373,3715.9211077338737,3909.6816326530607,5519.808,0.0,0.0,0.0,130.0,60.0,42.0,92.0,69.0,0.0,120.0,42.0,0.0,Soil Test Based Recommendation,1923.6321088435373,5519.808,3596.175891156463
13,Oromiya,Jimma,Kersa,Babo,1814.0,4.58,0.154,3.184,5.5,213.62116402116402,5434.521409214091,5314.750750750751,2934.9047619047624,0.0,0.0,0.0,110.0,40.0,27.0,92.0,69.0,0.0,120.0,58.0,0.0,NE Recommendation,213.62116402116402,5434.521409214091,5220.900245192927
14,Oromiya,Jimma,Tiro Afeta,Hajelo,1751.0,4.95,0.14,5.025,7.5,673.5999999999999,7537.195604395603,7418.548148148148,6133.390476190474,0.0,0.0,0.0,130.0,60.0,42.0,92.0,69.0,0.0,120.0,33.0,0.0,NE Recommendation,673.5999999999999,7537.195604395603,6863.595604395603
15,Oromiya,Jimma,Tiro Afeta,Babo,1867.0,4.79,0.161,3.948,6.0,2624.6532063492064,6890.025062656641,7286.541798941801,8945.375661375661,0.0,0.0,0.0,120.0,50.0,31.0,92.0,69.0,0.0,120.0,0.0,0.0,Soil Test Based Recommendation,2624.6532063492064,8945.375661375661,6320.722455026455
16,Oromiya,Jimma,Tiro Afeta,Babo,1864.0,4.72,0.154,3.859,6.5,4419.555555555556,7367.8545454545465,10160.04133738602,7156.413968253968,0.0,0.0,0.0,120.0,50.0,31.0,92.0,69.0,0.0,120.0,49.0,0.0,Regional Recommendation,4419.555555555556,10160.04133738602,5740.485781830464
17,Oromiya,Jimma,Kersa,Tikurbalto,1774.0,4.73,0.168,3.84,7.0,8775.960975609756,7382.309523809523,11804.251428571428,6552.477018633541,0.0,0.0,0.0,130.0,52.0,40.0,92.0,69.0,0.0,120.0,49.0,0.0,Regional Recommendation,8775.960975609756,11804.251428571428,3028.2904529616717
18,Oromiya,Jimma,Omo Nada,Waktola,1787.0,4.72,0.14,3.942,6.0,860.3259259259261,3889.396825396825,5520.639999999999,4959.644444444445,0.0,0.0,0.0,120.0,48.0,29.0,92.0,69.0,0.0,120.0,48.0,0.0,Regional Recommendation,860.3259259259261,5520.639999999999,4660.314074074074
19,Oromiya,Jimma,Omo Nada,Waktola,1776.0,4.54,0.266,38.564,7.5,3424.486956521739,8916.333333333336,10672.919896640828,7613.309772423026,0.0,0.0,0.0,130.0,60.0,42.0,92.0,69.0,0.0,120.0,0.0,0.0,Regional Recommendation,3424.486956521739,10672.919896640828,7248.432940119088
20,Oromiya,Jimma,Omo Nada,Waktola,1759.0,4.64,0.14,8.661,6.5,4790.757587301587,7440.427409988387,7734.328614328614,6866.027021040975,0.0,0.0,0.0,120.0,48.0,29.0,92.0,69.0,0.0,120.0,48.0,0.0,Regional Recommendation,4790.757587301587,7734.328614328614,2943.5710270270274
21,Oromiya,Jimma,Omo Nada,Waktola,1736.0,4.63,0.133,20.476,6.0,1099.3015873015875,5246.442328042328,7593.389355742295,5257.936507936507,0.0,0.0,0.0,120.0,48.0,29.0,92.0,69.0,0.0,120.0,0.0,0.0,Regional Recommendation,1099.3015873015875,7593.389355742295,6494.087768440708
22,Oromiya,Jimma,Tiro Afeta,Hejelo,1749.0,4.5,0.147,16.71,6.5,1661.047619047619,8433.102222222222,8284.262857142858,6212.716049382714,0.0,0.0,0.0,120.0,50.0,31.0,92.0,69.0,0.0,120.0,16.0,0.0,NE Recommendation,1661.047619047619,8433.102222222222,6772.054603174603
23,Oromiya,Jimma,Kersa,Merewa,1853.0,4.88,0.161,2.531,7.5,1629.4588235294116,2470.7651651651654,4933.778571428572,4863.999999999998,0.0,0.0,0.0,130.0,60.0,42.0,92.0,69.0,0.0,120.0,67.0,0.0,Regional Recommendation,1629.4588235294116,4933.778571428572,3304.3197478991606
24,Oromiya,Jimma,Kersa,Merewa,1816.0,4.69,0.203,2.778,6.5,1105.1803751803752,3828.129657477026,2858.91948051948,3239.2646733111847,0.0,0.0,0.0,120.0,50.0,31.0,92.0,69.0,0.0,120.0,63.0,0.0,NE Recommendation,1105.1803751803752,3828.129657477026,2722.9492822966504
25,Oromia,West Showa,Gobu sayo,Ongobo Bakanisa,1743.0,,,7.47,7.5,2154.326676907322,9068.40902255639,8541.866666666667,7743.9408479003405,0.0,0.0,0.0,130.0,60.0,42.0,111.0,38.0,0.0,120.0,42.0,0.0,NE Recommendation,2154.326676907322,9068.40902255639,6914.082345649069
26,Oromia,West Showa,Ilu galen,Ale wara ilu,1720.0,,,6.23,7.5,5231.999999999998,7213.934776334776,6039.442886002885,7778.491634491634,0.0,0.0,0.0,130.0,60.0,42.0,111.0,38.0,0.0,120.0,0.0,0.0,Soil Test Based Recommendation,5231.999999999998,7778.491634491634,2546.4916344916355
27,Oromia,West Showa,Bako Tibe,Gudina Walkite,1740.0,,,7.16,6.5,3282.9493087557607,8793.706892802784,7291.633986928103,7653.5952380952385,0.0,0.0,0.0,120.0,50.0,31.0,111.0,38.0,0.0,120.0,0.0,0.0,NE Recommendation,3282.9493087557607,8793.706892802784,5510.757584047024
28,Oromia,West Showa,Bako Tibe,Tarkanfata Gibe,1679.0,,,4.37,9.0,4914.135200746965,6915.007680491552,5431.420952380953,6009.571428571428,0.0,0.0,0.0,140.0,66.0,48.0,111.0,38.0,0.0,120.0,38.0,0.0,NE Recommendation,4914.135200746965,6915.007680491552,2000.8724797445866
29,Oromia,West Showa,Bako Tibe,Oda Gibe,1654.0,,,20.3,9.0,5046.6314699792965,7240.546192485433,8005.170068027211,7930.561403508774,0.0,0.0,0.0,140.0,66.0,48.0,111.0,38.0,0.0,120.0,26.0,0.0,Regional Recommendation,5046.6314699792965,8005.170068027211,2958.538598047914
30,Oromia,West Showa,Bako Tibe,Oda Gibe,1641.0,,,10.48,6.0,5809.576530612245,8267.04225352113,7551.2187633262265,7136.361620469084,0.0,0.0,0.0,120.0,48.0,29.0,111.0,38.0,0.0,120.0,0.0,0.0,NE Recommendation,5809.576530612245,8267.04225352113,2457.4657229088843
31,Oromia,West Showa,Bako Tibe,Oda Korma,1731.0,,,6.72,7.0,3642.785185185185,7685.446153846154,8133.656084656083,8670.593015873013,0.0,0.0,0.0,130.0,52.0,40.0,111.0,38.0,0.0,120.0,26.0,0.0,Soil Test Based Recommendation,3642.785185185185,8670.593015873013,5027.807830687829
32,Oromia,West Showa,Bako Tibe,Oda Korma,1695.0,,,9.99,7.0,7440.438003220614,8757.445614035089,8132.428571428572,10105.561634582913,0.0,0.0,0.0,130.0,52.0,40.0,111.0,38.0,0.0,120.0,0.0,0.0,Soil Test Based Recommendation,7440.438003220614,10105.561634582913,2665.1236313622994
33,Oromia,West Showa,Bako Tibe,Oda Haro,1766.0,,,5.54,8.0,1660.7316704459563,8595.983673469387,10243.800963081861,10188.568655354862,0.0,0.0,0.0,130.0,62.0,44.0,111.0,38.0,0.0,120.0,0.0,0.0,Regional Recommendation,1660.7316704459563,10243.800963081861,8583.069292635904
34,Oromia,West Showa,Bako Tibe,Oda Haro,1699.0,,,5.56,10.0,2365.8911564625855,6850.054644808743,5463.214462081129,4121.5055555555555,0.0,0.0,0.0,150.0,76.0,51.0,111.0,38.0,0.0,120.0,0.0,0.0,NE Recommendation,2365.8911564625855,6850.054644808743,4484.1634883461575
35,Oromia,West Showa,Bako Tibe,Tulu Sangota,1720.0,,,5.57,7.0,2701.5120517342734,4301.8736383442265,4915.999999999999,3921.5589327929756,0.0,0.0,0.0,130.0,52.0,40.0,111.0,38.0,0.0,120.0,22.0,0.0,Regional Recommendation,2701.5120517342734,4915.999999999999,2214.4879482657257
36,Oromia,West Showa,Bako Tibe,Tulu Sangota,1706.0,,,2.73,7.5,1593.466666666667,5110.280597014925,5486.303206997084,5236.31746031746,0.0,0.0,0.0,130.0,60.0,42.0,111.0,38.0,0.0,120.0,5.0,0.0,Regional Recommendation,1593.466666666667,5486.303206997084,3892.836540330417
37,Oromia,West Showa,Bako Tibe,Saden Kite,1649.0,,,8.23,7.0,3822.5582417582427,6746.851540616247,7127.8260491411165,7077.119999999999,0.0,0.0,0.0,130.0,52.0,40.0,111.0,38.0,0.0,120.0,26.0,0.0,Regional Recommendation,3822.5582417582427,7127.8260491411165,3305.267807382874
38,Oromia,West Showa,Bako Tibe,Saden Kite,1669.0,,,2.0,8.5,3348.4342857142856,6151.662081128748,5436.122448979591,6250.032850241547,0.0,0.0,0.0,140.0,64.0,46.0,111.0,38.0,0.0,120.0,17.0,0.0,Soil Test Based Recommendation,3348.4342857142856,6250.032850241547,2901.5985645272613
39,Oromia,West Showa,Bako Tibe,Bachera Oda Gibe,1658.0,,,7.12,8.0,1739.467573696145,6942.418003913894,5765.833333333333,6609.436834094369,0.0,0.0,0.0,130.0,62.0,44.0,111.0,38.0,0.0,120.0,5.0,0.0,NE Recommendation,1739.467573696145,6942.418003913894,5202.950430217748
40,Oromia,West Showa,Bako Tibe,Bachera Oda Gibe,1700.0,,,2.31,7.0,2840.6960317460316,7983.8507501630775,5814.314712153519,5862.967423687423,0.0,0.0,0.0,130.0,52.0,40.0,111.0,38.0,0.0,120.0,17.0,0.0,NE Recommendation,2840.6960317460316,7983.8507501630775,5143.154718417046
41,Oromia,West Showa,Bako Tibe,Dambi Dima,1641.0,,,9.58,7.0,4115.268983268983,8239.544444444447,7061.485714285714,6054.605128205128,0.0,0.0,0.0,130.0,52.0,40.0,111.0,38.0,0.0,120.0,10.0,0.0,NE Recommendation,4115.268983268983,8239.544444444447,4124.275461175464
42,Oromia,West Showa,Bako Tibe,Dambi Dima,1678.0,,,4.65,7.0,1121.1829573934838,4466.316903369535,6013.823129251701,6087.022222222224,0.0,0.0,0.0,130.0,52.0,40.0,111.0,38.0,0.0,120.0,0.0,0.0,Soil Test Based Recommendation,1121.1829573934838,6087.022222222224,4965.83926482874
43,Oromia,West Showa,Gobu sayo,Sombo Kejo,1816.0,,,3.96,7.0,2822.3518796992485,6696.259438339439,5345.497536945814,7132.4959742351075,0.0,0.0,0.0,130.0,52.0,40.0,111.0,38.0,0.0,120.0,74.0,0.0,Soil Test Based Recommendation,2822.3518796992485,7132.4959742351075,4310.144094535859
44,Oromia,West Showa,Gobu sayo,Sombo Kejo,1676.0,,,6.25,7.5,2691.4585034013608,6419.859147869673,6448.083582089551,6498.69707131679,0.0,0.0,0.0,130.0,60.0,42.0,111.0,38.0,0.0,120.0,0.0,0.0,Soil Test Based Recommendation,2691.4585034013608,6498.69707131679,3807.2385679154295
45,Oromia,West Showa,Bako Tibe,Gajo Kuyi,1850.0,,,20.57,7.5,1494.329365079365,4499.779047619047,4172.840634920635,4319.885173927727,0.0,0.0,0.0,130.0,60.0,42.0,111.0,38.0,0.0,120.0,17.0,0.0,NE Recommendation,1494.329365079365,4499.779047619047,3005.449682539682
46,Oromia,West Showa,Bako Tibe,Dambi Gobu,1843.0,,,5.83,7.0,2621.0979114452803,7506.780325298842,8092.818045112781,6709.56684303351,0.0,0.0,0.0,130.0,52.0,40.0,111.0,38.0,0.0,120.0,34.0,0.0,Regional Recommendation,2621.0979114452803,8092.818045112781,5471.720133667501
47,Oromia,West Showa,Bako Tibe,Dambi Gobu,1832.0,,,5.0,6.5,2257.2591269841273,6804.89552238806,6040.143369175628,6120.0,0.0,0.0,0.0,120.0,50.0,31.0,111.0,38.0,0.0,120.0,0.0,0.0,NE Recommendation,2257.2591269841273,6804.89552238806,4547.636395403933
48,Oromia,West Showa,Gobu sayo,Ongobo Bakanisa,1810.0,,,4.36,7.0,3141.630703624734,5282.923469387754,7343.337142857143,6448.707692307693,0.0,0.0,0.0,130.0,52.0,40.0,111.0,38.0,0.0,120.0,0.0,0.0,Regional Recommendation,3141.630703624734,7343.337142857143,4201.706439232408
49,Oromia,West Showa,Gobu sayo,Ongobo Bakanisa,1826.0,,,11.18,6.0,2625.2307692307695,6217.579487179487,6648.2319902319905,6261.8594104308395,0.0,0.0,0.0,120.0,48.0,29.0,111.0,38.0,0.0,120.0,64.0,0.0,Regional Recommendation,2625.2307692307695,6648.2319902319905,4023.001221001221
50,Oromia,West Showa,Gobu sayo,Gambela Tare,1626.0,,,6.2,6.0,4184.218412698413,9115.478649675833,8795.748792270533,9834.55093429777,0.0,0.0,0.0,120.0,48.0,29.0,111.0,38.0,0.0,120.0,42.0,0.0,Soil Test Based Recommendation,4184.218412698413,9834.55093429777,5650.332521599356
51,Oromia,West Showa,Gobu sayo,Ongobo Bakanisa,1838.0,,,9.88,7.5,2617.371428571429,8431.27858293076,8751.44601058201,7300.921810699587,0.0,0.0,0.0,130.0,60.0,42.0,111.0,38.0,0.0,120.0,48.0,0.0,Regional Recommendation,2617.371428571429,8751.44601058201,6134.074582010582
52,Oromia,West Showa,Bako Tibe,Dambi Dima,1688.0,,,12.68,8.0,1706.651616696061,5823.690476190477,5813.018240516546,8500.841269841269,0.0,0.0,0.0,130.0,62.0,44.0,111.0,38.0,0.0,120.0,70.0,0.0,Soil Test Based Recommendation,1706.651616696061,8500.841269841269,6794.189653145208
