trial_id,Peasant Association,pH           (1:2.5 water),TN                (%),Av. P (ppm),Attinable Yield,Actual Yield,Yield Gap,Control,NE Recomm.,Regional Recom.,Soil Test Based Recom.,Control_yield_kg_ha,NE Recommendation_yield_kg_ha,Regional Recommendation_yield_kg_ha,Soil Test Based Recommendation_yield_kg_ha,best_strategy,NE Recommendation_gain_vs_control_kg_ha,Regional Recommendation_gain_vs_control_kg_ha,Soil Test Based Recommendation_gain_vs_control_kg_ha,best_gain_vs_control_kg_ha,NE Recomm._N,NE Recomm._P,NE Recomm._K,Regional Recom._N,Regional Recom._P,Regional Recom._K,Soil Test Based Recom._N,Soil Test Based Recom._P,Soil Test Based Recom._K
36,Saden kite,,,8.23,7.0,4.0,3.0,0-0-0,130-52-40,111-38-0,120-26-0,3822.5582417582427,6746.851540616247,7127.8260491411165,7077.119999999999,Regional Recommendation,2924.293298858004,3305.267807382874,3254.5617582417563,3305.267807382874,130.0,-52.0,-40.0,111.0,-38.0,-0.0,120.0,-26.0,-0.0
37,Saden kite,,,2.0,8.5,5.5,3.0,0-0-0,140-64-46,111-38-0,120-17-0,3348.4342857142856,6151.662081128748,5436.122448979591,6250.032850241547,Soil Test Based Recommendation,2803.227795414462,2087.688163265306,2901.5985645272613,2901.5985645272613,140.0,-64.0,-46.0,111.0,-38.0,-0.0,120.0,-17.0,-0.0
38,Bachera Oda Gibe,,,7.12,8.0,5.0,3.0,0-0-0,130-62-44,111-38-0,120-5-0,1739.467573696145,6942.418003913894,5765.833333333333,6609.436834094369,NE Recommendation,5202.950430217748,4026.3657596371877,4869.969260398224,5202.950430217748,130.0,-62.0,-44.0,111.0,-38.0,-0.0,120.0,-5.0,-0.0
39,Bachera Oda Gibe,,,2.31,7.0,4.0,3.0,0-0-0,130-52-40,111-38-0,120-17-0,2840.6960317460316,7983.8507501630775,5814.314712153519,5862.967423687423,NE Recommendation,5143.154718417046,2973.618680407488,3022.271391941392,5143.154718417046,130.0,-52.0,-40.0,111.0,-38.0,-0.0,120.0,-17.0,-0.0
40,Dambi Dima,,,9.58,7.0,4.0,3.0,0-0-0,130-52-40,111-38-0,120-10-0,4115.268983268983,8239.544444444447,7061.485714285714,6054.605128205128,NE Recommendation,4124.275461175464,2946.2167310167306,1939.3361449361446,4124.275461175464,130.0,-52.0,-40.0,111.0,-38.0,-0.0,120.0,-10.0,-0.0
41,Dambi Dima,,,4.65,7.0,4.0,3.0,0-0-0,130-52-40,111-38-0,120-0-0,1121.1829573934838,4466.316903369535,6013.823129251701,6087.022222222224,Soil Test Based Recommendation,3345.133945976051,4892.640171858217,4965.83926482874,4965.83926482874,130.0,-52.0,-40.0,111.0,-38.0,-0.0,120.0,-0.0,-0.0
42,sombo Kejo,,,3.96,7.0,4.0,3.0,0-0-0,130-52-40,111-38-0,120-74-0,2822.3518796992485,6696.259438339439,5345.497536945814,7132.4959742351075,Soil Test Based Recommendation,3873.9075586401905,2523.145657246566,4310.144094535859,4310.144094535859,130.0,-52.0,-40.0,111.0,-38.0,-0.0,120.0,-74.0,-0.0
43,sombo Kejo,,,6.25,7.5,4.5,3.0,0-0-0,130-60-42,111-38-0,120-0-0,2691.4585034013608,6419.859147869673,6448.083582089551,6498.69707131679,Soil Test Based Recommendation,3728.400644468312,3756.62507868819,3807.2385679154295,3807.2385679154295,130.0,-60.0,-42.0,111.0,-38.0,-0.0,120.0,-0.0,-0.0
44,Gajo Kuyi,,,20.57,7.5,4.5,3.0,0-0-0,130-60-42,111-38-0,120-17-0,1494.329365079365,4499.779047619047,4172.840634920635,4319.885173927727,NE Recommendation,3005.449682539682,2678.5112698412704,2825.555808848362,3005.449682539682,130.0,-60.0,-42.0,111.0,-38.0,-0.0,120.0,-17.0,-0.0
45,dambi Gobu,,,5.83,7.0,4.0,3.0,0-0-0,130-52-40,111-38-0,120-34-0,2621.0979114452803,7506.780325298842,8092.818045112781,6709.56684303351,Regional Recommendation,4885.682413853562,5471.720133667501,4088.4689315882297,5471.720133667501,130.0,-52.0,-40.0,111.0,-38.0,-0.0,120.0,-34.0,-0.0
46,dambi Gobu,,,5.0,6.5,3.5,3.0,0-0-0,120-50-31,111-38-0,120-0-0,2257.2591269841273,6804.89552238806,6040.143369175628,6120.0,NE Recommendation,4547.636395403933,3782.884242191501,3862.7408730158727,4547.636395403933,120.0,-50.0,-31.0,111.0,-38.0,-0.0,120.0,-0.0,-0.0
47,ongobo bakanisa,,,4.36,7.0,4.0,3.0,0-0-0,130-52-40,111-38-0,120-0-0,3141.630703624734,5282.923469387754,7343.337142857143,6448.707692307693,Regional Recommendation,2141.2927657630203,4201.706439232408,3307.076988682959,4201.706439232408,130.0,-52.0,-40.0,111.0,-38.0,-0.0,120.0,-0.0,-0.0
48,ongobo bakanisa,,,11.18,6.0,3.0,3.0,0-0-0,120-48-29,111-38-0,120-64-0,2625.2307692307695,6217.579487179487,6648.2319902319905,6261.8594104308395,Regional Recommendation,3592.3487179487174,4023.001221001221,3636.62864120007,4023.001221001221,120.0,-48.0,-29.0,111.0,-38.0,-0.0,120.0,-64.0,-0.0
49,Gambela Tare,,,6.2,6.0,3.0,3.0,0-0-0,120-48-29,111-38-0,120-42-0,4184.218412698413,9115.478649675833,8795.748792270533,9834.55093429777,Soil Test Based Recommendation,4931.26023697742,4611.53037957212,5650.332521599356,5650.332521599356,120.0,-48.0,-29.0,111.0,-38.0,-0.0,120.0,-42.0,-0.0
50,ongobo bakanisa,,,9.88,7.5,4.5,3.0,0-0-0,130-60-42,111-38-0,120-48-0,2617.371428571429,8431.27858293076,8751.44601058201,7300.921810699587,Regional Recommendation,5813.907154359331,6134.074582010582,4683.550382128158,6134.074582010582,130.0,-60.0,-42.0,111.0,-38.0,-0.0,120.0,-48.0,-0.0
51,Dambi Dima,,,12.68,8.0,5.0,3.0,0-0-0,130-62-44,111-38-0,120-70-0,1706.651616696061,5823.690476190477,5813.018240516546,8500.841269841269,Soil Test Based Recommendation,4117.038859494416,4106.366623820485,6794.189653145208,6794.189653145208,130.0,-62.0,-44.0,111.0,-38.0,-0.0,120.0,-70.0,-0.0
